Province_id,Province_name,Year,Pop,Pop_den,Literate,Trained,GDPpc,Real_gdp_pc,Real_grdp,Agri,Indus,Service,tax_rev,cus_rev,Total_in,Domestic_in,FDI_in,Dom_in_rate,Registered_FDI,Nonpublic_wage,FDI_eachyear,Total_internet,Total_phones,Market_cost,Land_cost,Time_cost,Unofficial_cost,Proactive_leadership,Business_support,Legal_quality,Accum_FDI_pro,Accum_FDI,FDI_Projects,FDI_regis,Net-migration
1,Ha Noi,2015,7433.6,2213,98.5,53.2,90.5,66.9,497473,13100,103509,318937,61927000,15681000,208917,,22276,0.9,845,5839,9398,4268000,26242,7.6,4.1,5.6,4.3,3.9,6.5,4.6,3467,25490.9,364,1126.9,
1,Ha Noi,2016,7590.8,2260,98.7,56.9,96.3,70.2,533091,13493,112546,340806,66246000,16945000,234156,,23825,0.9,1913,7079,9798,4400000,29788,7.5,4.2,5.9,4.7,3.8,6.8,4.2,3960,25748.8,462,3390,
1,Ha Noi,2017,7742.2,2305,98.7,60.7,104.1,73.9,572503,13711,123341,365297,70154000,18165000,257115,,27201,0.9,1486,6589,11013,4497000,28984,6.7,5.3,7.2,4.4,4.1,7.7,4.9,4500,27638,554,3059.1,
1,Ha Noi,2018,7914.5,2356,98.8,63.2,111.6,77.6,614035,14260,133972,391864,73939000,17542000,283083,,30996,0.9,5040,7905,12725,5100000,32656,8.2,5.9,7.1,5.6,5.1,7.2,5.5,5110,33134.7,640,7547.8,
1,Ha Noi,2019,8093.9,2410,99.2,67.5,119.7,81.7,660900,14207,147529,421031,78133000,19281000,317212,,37702,0.9,1606,13204,8911,5683000,28345,8,6.6,7.2,5.9,6,7.1,6.3,5970,34343.7,919,8669.7,
26,Vinh Phuc,2015,1054.5,0.9,98,22.3,70.1,60,63292.6,4285.8,29691,12427.5,16888.3,2974,23399,,6040.6,0.742,268,5334,5970,,,8.4,6.1,7.5,5.9,5.8,5.3,6.3,268,3781.5,35,379.6,
26,Vinh Phuc,2016,1106.1,0.9,98.2,24.1,78,56.3,62257,4377,25163,12892,19826,3215948,20800,,6153,0.7,275,5248,7797,31301,882879,8.5,5.7,6,5.5,5.5,5.6,5.8,266,3874.7,31,396.1,
26,Vinh Phuc,2017,1123.1,0.9,98.3,24.4,84.9,59.6,66908,4513,27980,13964,20450,3743245,23271,,6883,0.7,135,6340,8839,26409,861319,7.1,5.8,7.3,6.1,6,6.8,6.3,312,4038.1,45,202,
26,Vinh Phuc,2018,1138.4,0.9,98.5,24.8,94.5,63.6,72369,4689,32569,15063,20049,4866062,26205,,9424,0.6,334,7332,9065,22155,881519,6.8,5.7,5.9,6,6,6.4,5.8,365,33134.1,63,475.1,
26,Vinh Phuc,2019,1154.8,0.9,98.7,25.1,103,67.7,78233,4559,36843,16063,20767,4062413,28508,,12290,0.6,557,,,16678,1242703,8.7,6.4,7.2,6.6,6.4,6.1,6.5,417,5078.9,60,586.2,
